business_name,city,postcode,website,phone,email,google_maps_url,notes,status
Emperor Carpets Ltd,London,,,+44 20 7771 8880,,https://www.google.com/maps/search/?api=1&query=Emperor%20Carpets%20Ltd%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Connaught Carpets,London,,,+44 20 7402 6650,,https://www.google.com/maps/search/?api=1&query=Connaught%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Capitol Carpets,London,,https://www.carpetsofchelsea.com/,+44 20 7221 1260,,https://www.google.com/maps/search/?api=1&query=Capitol%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Urbane Living,London,,https://urbaneliving.co.uk/,,,https://www.google.com/maps/search/?api=1&query=Urbane%20Living%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Tapi Carpets,London,,https://www.tapi.co.uk/stores/brent-cross,+44 20 3873 7070,,https://www.google.com/maps/search/?api=1&query=Tapi%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Tapi Carpets,London,,https://www.tapi.co.uk/stores/edmonton,+44 20 3846 1080,,https://www.google.com/maps/search/?api=1&query=Tapi%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
DMD Rugs & Carpets,London,E18 1AY,http://dmdrugsandcarpets.co.uk/,+44 7799 496979,,https://www.google.com/maps/search/?api=1&query=DMD%20Rugs%20%26%20Carpets%20E18%201AY,Source: OpenStreetMap (Overpass); shop=carpet,new
Carpetright,London,,https://www.carpet-right.co.uk/stores/wimbledon-carpetright,+44 20 3989 9540,,https://www.google.com/maps/search/?api=1&query=Carpetright%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Deco Floors,London,N14 4XA,,+44 20 8364 4637,sales@decofloors.co.uk,https://www.google.com/maps/search/?api=1&query=Deco%20Floors%20N14%204XA,Source: OpenStreetMap (Overpass); shop=carpet,new
Preston Carpets,Wembley,,,+44 20 8385 2570,,https://www.google.com/maps/search/?api=1&query=Preston%20Carpets%20Wembley,Source: OpenStreetMap (Overpass); shop=carpet,new
Unique Carpets,London,,,+44 20 8423 1882,,https://www.google.com/maps/search/?api=1&query=Unique%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Tapi Carpets,London,,https://www.tapi.co.uk/stores/sutton,+44 20 8138 2760,,https://www.google.com/maps/search/?api=1&query=Tapi%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
London Carpet & Flooring,Wembley,,https://www.london-carpet.com/,+44 20 8616 8282,,https://www.google.com/maps/search/?api=1&query=London%20Carpet%20%26%20Flooring%20Wembley,Source: OpenStreetMap (Overpass); shop=carpet,new
Carpetright,London,,https://www.carpet-right.co.uk/stores/holloway-carpetright,+44 20 3953 6140,,https://www.google.com/maps/search/?api=1&query=Carpetright%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
One Wood Floors,London,,https://www.onewoodfloors.co.uk/,,,https://www.google.com/maps/search/?api=1&query=One%20Wood%20Floors%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Future Floors - Addlestone Carpets & Beds,Addlestone,KT15 2AT,https://www.futurefloorsaddlestone.co.uk/,+44 1932 841232,,https://www.google.com/maps/search/?api=1&query=Future%20Floors%20-%20Addlestone%20Carpets%20%26%20Beds%20KT15%202AT,Source: OpenStreetMap (Overpass); shop=carpet,new
Keith Harris Carpets & Flooring,Purley,CR8 2BP,https://www.khcf.co.uk/,+44 20 8660 0473,,https://www.google.com/maps/search/?api=1&query=Keith%20Harris%20Carpets%20%26%20Flooring%20CR8%202BP,Source: OpenStreetMap (Overpass); shop=carpet,new
Image Carpets,Purley,CR8 2LE,https://www.imagecarpets.co.uk/,+44 20 8668 0055,,https://www.google.com/maps/search/?api=1&query=Image%20Carpets%20CR8%202LE,Source: OpenStreetMap (Overpass); shop=carpet,new
County Carpets,Ashford,TW15 2PE,https://countycarpetsashford.co.uk/,+44 1784 241459,,https://www.google.com/maps/search/?api=1&query=County%20Carpets%20TW15%202PE,Source: OpenStreetMap (Overpass); shop=carpet,new
Cozy Floorz,Ashford,TW15 2UG,,+44 1784 253222,,https://www.google.com/maps/search/?api=1&query=Cozy%20Floorz%20TW15%202UG,Source: OpenStreetMap (Overpass); shop=carpet,new
